EntrezID,GeneID,Symbol,Description,Protein Name,UniProt ID
117,ENSG00000078549,ADCYAP1R1,ADCYAP receptor type I,Pituitary adenylate cyclase-activating polypeptide type I receptor,A8K1Y1; P41586; Q17S10; B7ZLA7; B8ZZK3
118,ENSG00000087274,ADD1,adducin 1,Alpha-adducin,Q13734; B4DI79; D3DVR3; P35611; Q86XM2; D3DVR4; D3DVR5; Q14729; Q9UJB6; A2A3P0; Q16156; A2A3N8
119,ENSG00000075340,ADD2,adducin 2,Beta-adducin,Q16412; P35612; A8K4P2; Q7Z688; Q7Z690; D6W5G7; Q59G82; Q6P0P2; Q6PGQ4; Q7Z691; Q7Z689; B4DM17; D6W5G8; Q13482; Q5U5P4
120,ENSG00000148700,ADD3,adducin 3,Gamma-adducin,Q9UEY7; Q9UEY8; D3DRA8; Q92773; O43243; Q5VU09
123,ENSG00000147872,PLIN2,perilipin 2,Perilipin-2,Q99541; Q9BSC3
124,ENSG00000187758,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",Alcohol dehydrogenase 1A,Q17R68; A8K3E3; P07327
125,ENSG00000196616,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",All-trans-retinol dehydrogenase [NAD(+)] ADH1B,A8MYN5; B4DVC3; Q13711; Q4ZGI9; P00325; Q96KI7; B4DRS9
126,ENSG00000248144,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",Alcohol dehydrogenase 1C,P00326; Q6LBW4; Q4PJ18; Q6NWV0; Q5WRV0; Q6NZA7
127,ENSG00000198099,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",All-trans-retinol dehydrogenase [NAD(+)] ADH4,A8K470; B4DIE7; Q8TCD7; C9J4A9; P08319
128,ENSG00000197894,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",Alcohol dehydrogenase class-3,Q6FHR2; P11766
130,ENSG00000172955,ADH6,alcohol dehydrogenase 6 (class V),Alcohol dehydrogenase 6,A0A0A0MS56; Q58F53; P28332; B3KS45
131,ENSG00000196344,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",All-trans-retinol dehydrogenase [NAD(+)] ADH7,B4DWV6; A8MVN9; Q13713; B2R760; P40394; A2RRB6
132,ENSG00000156110,ADK,adenosine kinase,Adenosine kinase,B7Z800; Q16710; B7Z783; Q9BTN2; Q5JQ10; P55263; O00742; O00741; Q5JQ11
133,ENSG00000148926,ADM,adrenomedullin,Pro-adrenomedullin,P35318; B2R793; Q6FGW2; D3DQV3
134,ENSG00000163485,ADORA1,adenosine A1 receptor,Adenosine receptor A1,Q8TAM8; P30542; A8K1L3; B3KXQ4; A6NGP4; Q6FHK3; D2CGD0; A6NFY5
135,ENSG00000128271,ADORA2A,adenosine A2a receptor,Adenosine receptor A2a,P29274; B2R7E0
136,ENSG00000170425,ADORA2B,adenosine A2b receptor,Adenosine receptor A2b,P29275
140,ENSG00000282608,ADORA3,adenosine A3 receptor,Transmembrane domain-containing protein TMIGD3; Adenosine receptor A3,A2A3P4; P0DMS8; Q9BYZ1; P33765; Q6UWU0
141,ENSG00000144843,ADPRH,ADP-ribosylarginine hydrolase,ADP-ribosylhydrolase ARH1,B2R8H1; D3DN83; P54922
142,ENSG00000143799,PARP1,poly(ADP-ribose) polymerase 1,Poly [ADP-ribose] polymerase 1,P09874; B1ANJ4; Q8IUZ9
143,ENSG00000102699,PARP4,poly(ADP-ribose) polymerase family member 4,Protein mono-ADP-ribosyltransferase PARP4,Q9UKK3; Q14682; O75903; Q5QNZ9; Q9H1M6
146,ENSG00000171873,ADRA1D,adrenoceptor alpha 1D,Alpha-1D adrenergic receptor,Q9NPY0; P25100
147,ENSG00000170214,ADRA1B,adrenoceptor alpha 1B,Alpha-1B adrenergic receptor,B0LPE1; P35368
148,ENSG00000120907,ADRA1A,adrenoceptor alpha 1A,Alpha-1A adrenergic receptor,P35348; A8K0I3; Q9UD67; Q13675; Q4VBM7; B0ZBD9; B0ZBD6; Q6RUJ8; Q9UD63; O60451; Q13729; Q6RUJ5; B0ZBD2; B0ZBD4; Q96RE8; B0ZBD5; B0ZBD8; Q6RUJ4; Q6RUJ9; Q6RUJ7; B0ZBD1
150,ENSG00000150594,ADRA2A,adrenoceptor alpha 2A,Alpha-2A adrenergic receptor,P08913; B0LPF6; Q2XN99; Q2I8G2; Q86TH8; Q9BZK1
151,ENSG00000274286,ADRA2B,adrenoceptor alpha 2B,Alpha-2B adrenergic receptor,Q53RF2; A2RUS0; Q4TUH9; P18089; Q9BZK0
152,ENSG00000184160,ADRA2C,adrenoceptor alpha 2C,Alpha-2C adrenergic receptor,P18825; P35369; Q9HB49
153,ENSG00000043591,ADRB1,adrenoceptor beta 1,Beta-1 adrenergic receptor,B0LPE2; Q9UKG7; Q5T5Y4; P08588; Q9UKG8
154,ENSG00000169252,ADRB2,adrenoceptor beta 2,Beta-2 adrenergic receptor,Q9UMZ5; O14825; Q9UCZ3; B0LPE4; Q9UH95; O14823; O14826; P07550; Q6P4D8; Q9UCZ0; Q9UCZ1; Q9UCZ2; Q9UHA1; Q53GA6; Q8NEQ9; Q4JG18; Q6GMT4; Q96EC3; B2R7X2; O14824
155,ENSG00000188778,ADRB3,adrenoceptor beta 3,Beta-3 adrenergic receptor,P13945; Q4JFT4
156,ENSG00000173020,GRK2,G protein-coupled receptor kinase 2,Beta-adrenergic receptor kinase 1,Q13837; Q6GTT3; B0ZBE1; P25098
157,ENSG00000100077,GRK3,G protein-coupled receptor kinase 3,G protein-coupled receptor kinase 3,P35626; Q9UGW9
158,ENSG00000239900,ADSL,adenylosuccinate lyase,Adenylosuccinate lyase,B0QY76; P30566; Q5TI34; O75495
159,ENSG00000035687,ADSS2,adenylosuccinate synthase 2,Adenylosuccinate synthetase isozyme 2,P30520; Q96EG7; B1AQM5
160,ENSG00000196961,AP2A1,adaptor related protein complex 2 subunit alpha 1,AP-2 complex subunit alpha-1,O95782; Q96PP6; Q96PP7; Q9H070; Q96CI7
161,ENSG00000183020,AP2A2,adaptor related protein complex 2 subunit alpha 2,AP-2 complex subunit alpha-2,O75403; Q53ET1; Q96SI8; O94973
162,ENSG00000100280,AP1B1,adaptor related protein complex 1 subunit beta 1,AP-1 complex subunit beta-1,Q20WL3; Q86X54; Q10567; F8WDL0; P78436; C9JRD1
163,ENSG00000006125,AP2B1,adaptor related protein complex 2 subunit beta 1,AP-2 complex subunit beta,Q7Z451; Q96J19; A6NJP3; P21851; P63010
164,ENSG00000166747,AP1G1,adaptor related protein complex 1 subunit gamma 1,AP-1 complex subunit gamma-1,Q9Y3U4; O75842; O43747; Q9UG09; O75709
165,ENSG00000106624,AEBP1,AE binding protein 1,Adipocyte enhancer-binding protein 1,Q6ZSC7; Q7KZ79; Q14113; Q8IUX7; Q59ER7
166,ENSG00000104964,TLE5,"TLE family member 5, transcriptional modulator",TLE family member 5,Q12808; Q96TG9; B2RBL0; Q08117; Q14CJ1; Q9UDY9
167,ENSG00000124812,CRISP1,cysteine rich secretory protein 1,Cysteine-rich secretory protein 1,B5BU98; Q14082; O00698; Q96SF6; Q13248; P54107
172,ENSG00000293510,AFG3L1P,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",-,-
173,ENSG00000079557,AFM,afamin,Afamin,Q32MR3; P43652; A8K3E1; Q4W5C5
174,ENSG00000081051,AFP,alpha fetoprotein,Alpha-fetoprotein,B2RBU3; P02771
175,ENSG00000038002,AGA,aspartylglucosaminidase,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,Q6FHN6; P20933; Q9UCK7; Q9UCK8; B2R7H2; Q4W5Q2; Q9UCK6; D3DP47
176,ENSG00000157766,ACAN,aggrecan,Aggrecan core protein,Q9UCD3; E7ENV9; B9EK55; Q9UCP4; Q9UDE0; Q13650; H0YM81; P16112; E7EX88; Q9UCP5
177,ENSG00000204305,AGER,advanced glycosylation end-product specific receptor,Advanced glycosylation end product-specific receptor,Q3L1R4; Q3L1R8; A7Y2U9; Q3L1S0; Q86SN1; Q15279; Q9Y3R3; B0V176; Q3L1R6; Q15109; Q3L1R7; A2BFI7; Q9H2X7; Q3L1R5; V5R6A3; A6NKF0
178,ENSG00000162688,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",Glycogen debranching enzyme,Q6AZ90; P78544; P78354; A6NCX7; D3DT51; P35573; A6NEK2; Q59H92; Q9UF08
181,ENSG00000159723,AGRP,agouti related neuropeptide,Agouti-related protein,Q2TBD9; O00253; O15459
182,ENSG00000101384,JAG1,jagged canonical Notch ligand 1,Protein jagged-1,P78504; O14902; O15122; A0AV43; E9PCF9; B4DYR1; Q15816
183,ENSG00000135744,AGT,angiotensinogen,Angiotensinogen,P01019; Q16358; Q16359; Q96F91
185,ENSG00000144891,AGTR1,angiotensin II receptor type 1,Type-1 angiotensin II receptor,Q13725; Q8TBK4; P30556
186,ENSG00000180772,AGTR2,angiotensin II receptor type 2,Type-2 angiotensin II receptor,P50052; B2R9V1; Q6FGY7; Q13016
187,ENSG00000134817,APLNR,apelin receptor,Apelin receptor,P35414
189,ENSG00000172482,AGXT,alanine--glyoxylate aminotransferase,Alanine--glyoxylate aminotransferase,Q53QU6; P21549
190,ENSG00000169297,NR0B1,nuclear receptor subfamily 0 group B member 1,Nuclear receptor subfamily 0 group B member 1,Q96F69; P51843
191,ENSG00000101444,AHCY,adenosylhomocysteinase,Adenosylhomocysteinase,E1P5P2; B3KUN3; Q96A36; A8K307; P23526; F5H737
196,ENSG00000106546,AHR,aryl hydrocarbon receptor,Aryl hydrocarbon receptor,Q13804; P35869; Q13803; Q13728; A4D130
197,ENSG00000145192,AHSG,alpha 2-HS glycoprotein,Alpha-2-HS-glycoprotein,Q9P152; A8K9N6; P02765; O14961; O14962; B2R7G1
199,ENSG00000204472,AIF1,allograft inflammatory factor 1,Allograft inflammatory factor 1,O43904; Q9UKS9; P55008; A8K406; Q9UIV4
202,ENSG00000112297,CRYBG1,crystallin beta-gamma domain containing 1,Beta/gamma crystallin domain-containing protein 1,O00296; Q5VWJ2; Q9Y4K1; B4DU04
203,ENSG00000106992,AK1,adenylate kinase 1,Adenylate kinase isoenzyme 1,Q9BVK9; Q9UQC7; P00568
204,ENSG00000004455,AK2,adenylate kinase 2,"Adenylate kinase 2, mitochondrial",P54819; B4DL64; B4DHH7; Q16856; Q8TCY2; A8K6L1; Q8TCY3; Q5EB54; Q5TIF7
205,ENSG00000162433,AK4,adenylate kinase 4,"Adenylate kinase 4, mitochondrial",B2R927; P27144; Q6NXQ5; D3DQ62; Q6IBH4; Q8IUU9
207,ENSG00000142208,AKT1,AKT serine/threonine kinase 1,RAC-alpha serine/threonine-protein kinase,Q9BWB6; P31749; B7Z5R1; B2RAM5
208,ENSG00000105221,AKT2,AKT serine/threonine kinase 2,RAC-beta serine/threonine-protein kinase,Q68GC0; Q05BV0; P31751; B2RBD8; Q0VAN0; Q0VAN1
210,ENSG00000148218,ALAD,aminolevulinate dehydratase,Delta-aminolevulinic acid dehydratase,P13716; B2R6F2; Q9BVQ9; Q16871; A8K375; Q16870
211,ENSG00000023330,ALAS1,5'-aminolevulinate synthase 1,"5-aminolevulinate synthase, non-specific, mitochondrial",P13196
212,ENSG00000158578,ALAS2,5'-aminolevulinate synthase 2,"5-aminolevulinate synthase, erythroid-specific, mitochondrial",P22557; Q8N6H3; A8K3F0; Q13735; Q5JZF5; A8K6C4
213,ENSG00000163631,ALB,albumin,Albumin,O95574; Q9P1I7; Q9UJZ0; Q68DN5; Q9P157; Q13140; P04277; Q8IUK7; Q6UXK4; Q645G4; P02768; E7ESS9; Q9UHS3; Q86YG0
214,ENSG00000170017,ALCAM,activated leukocyte cell adhesion molecule,CD166 antigen,Q6ZS95; Q13740; Q1HGM9; O60892; B2RNS3; Q1HGM8; Q6PEY4; B4DTU0
215,ENSG00000101986,ABCD1,ATP binding cassette subfamily D member 1,ATP-binding cassette sub-family D member 1,Q6GTZ2; P33897
216,ENSG00000165092,ALDH1A1,aldehyde dehydrogenase 1 family member A1,Aldehyde dehydrogenase 1A1,P00352; Q5SYR1; O00768
217,ENSG00000111275,ALDH2,aldehyde dehydrogenase 2 family member,"Aldehyde dehydrogenase, mitochondrial",P05091; Q03639; Q6IB13; B4DW54; E7EUE5; Q6IV71
218,ENSG00000108602,ALDH3A1,aldehyde dehydrogenase 3 family member A1,"Aldehyde dehydrogenase, dimeric NADP-preferring",P30838; A8K828; Q9BT37
219,ENSG00000137124,ALDH1B1,aldehyde dehydrogenase 1 family member B1,"Aldehyde dehydrogenase X, mitochondrial",P30837; Q8WX76; B2R8F0; Q9BV45
220,ENSG00000184254,ALDH1A3,aldehyde dehydrogenase 1 family member A3,Retinaldehyde dehydrogenase 3,P47895; Q6NT64
221,ENSG00000006534,ALDH3B1,aldehyde dehydrogenase 3 family member B1,Aldehyde dehydrogenase family 3 member B1,Q96CK8; P43353; A3FMP9; Q8N515; Q53XL5
222,ENSG00000132746,ALDH3B2,aldehyde dehydrogenase 3 family member B2,-,A0A669KBD2.3; A0A669KB42.3; A0A669KBB2.3; A0A669KAV1.1; P48448.179; E9PJV0.62; E9PKY9.57; H0YEC0.47
223,ENSG00000143149,ALDH9A1,aldehyde dehydrogenase 9 family member A1,4-trimethylaminobutyraldehyde dehydrogenase,Q5VV90; P49189; Q6LCL1; B4DXY7; B9EKV4; B2R6X1; Q9NZT7
224,ENSG00000072210,ALDH3A2,aldehyde dehydrogenase 3 family member A2,Aldehyde dehydrogenase family 3 member A2,Q6I9T3; P51648; Q93011; Q96J37
225,ENSG00000173208,ABCD2,ATP binding cassette subfamily D member 2,ATP-binding cassette sub-family D member 2,Q13210; B2RAM3; Q9UBJ2; Q2M3H9
226,ENSG00000149925,ALDOA,"aldolase, fructose-bisphosphate A",Fructose-bisphosphate aldolase A,B4DXI7; Q96B15; Q9BWD9; Q9UCN2; Q6FH76; P04075; Q6FI10
229,ENSG00000136872,ALDOB,"aldolase, fructose-bisphosphate B",Fructose-bisphosphate aldolase B,P05062; Q5T7D6; Q13742; Q13741
230,ENSG00000109107,ALDOC,"aldolase, fructose-bisphosphate C",Fructose-bisphosphate aldolase C,Q6FH94; P09972; Q3SYL3; Q6P0L5; B2R5R3
231,ENSG00000085662,AKR1B1,aldo-keto reductase family 1 member B,Aldo-keto reductase family 1 member B1,Q5U031; Q9BS21; Q9UCI9; Q6FGA4; P15121; B2R8N3; Q6ICP2
238,ENSG00000171094,ALK,ALK receptor tyrosine kinase,ALK tyrosine kinase receptor; Echinoderm microtubule-associated protein-like 4,Q4ZFX9; Q9Y4K6; A6P4T4; Q59FI3; A6P4V4; Q9UM73; Q53RZ4; Q53QQ6
